Infectados,Curados,Suceptibles,t
17,0,383,0
24,1,375,1
31,1,368,2
47,2,351,3
58,2,340,4
78,2,320,5
92,3,305,6
106,5,289,7
120,6,274,8
127,10,263,9
133,14,253,10
145,15,240,11
156,16,228,12
167,16,217,13
178,18,204,14
183,19,198,15
187,19,194,16
193,21,186,17
200,22,178,18
202,25,173,19
207,27,166,20
208,29,163,21
211,30,159,22
216,30,154,23
215,30,155,24
219,31,150,25
226,31,143,26
231,32,137,27
230,33,137,28
238,34,128,29
238,35,127,30
239,36,125,31
243,38,119,32
238,38,124,33
241,40,119,34
244,40,116,35
243,40,117,36
241,41,118,37
242,43,115,38
244,43,113,39
251,43,106,40
249,44,107,41
248,45,107,42
254,46,100,43
251,47,102,44
254,48,98,45
254,48,98,46
252,50,98,47
252,50,98,48
255,51,94,49
253,53,94,50
252,54,94,51
250,55,95,52
250,57,93,53
250,57,93,54
252,60,88,55
253,61,86,56
253,63,84,57
255,63,82,58
255,63,82,59
256,64,80,60
257,64,79,61
255,67,78,62
252,70,78,63
250,72,78,64
248,74,78,65
247,76,77,66
241,79,80,67
240,80,80,68
240,81,79,69
238,84,78,70
237,84,79,71
237,84,79,72
237,84,79,73
238,84,78,74
234,85,81,75
232,86,82,76
233,87,80,77
230,88,82,78
231,90,79,79
229,91,80,80
230,92,78,81
230,94,76,82
232,94,74,83
232,94,74,84
228,95,77,85
226,96,78,86
221,99,80,87
219,101,80,88
219,102,79,89
220,102,78,90
216,105,79,91
217,105,78,92
217,107,76,93
216,107,77,94
215,111,74,95
215,111,74,96
213,112,75,97
209,114,77,98
201,119,80,99
201,120,79,100
202,121,77,101
202,121,77,102
198,124,78,103
199,124,77,104
198,124,78,105
202,124,74,106
202,125,73,107
199,128,73,108
193,129,78,109
192,129,79,110
195,130,75,111
196,133,71,112
195,133,72,113
192,136,72,114
189,139,72,115
186,139,75,116
186,139,75,117
181,141,78,118
182,144,74,119
184,146,70,120
189,146,65,121
185,148,67,122
178,149,73,123
179,149,72,124
174,152,74,125
174,152,74,126
174,153,73,127
172,154,74,128
173,155,72,129
170,157,73,130
168,157,75,131
171,157,72,132
173,158,69,133
172,158,70,134
173,158,69,135
171,159,70,136
169,159,72,137
168,159,73,138
169,159,72,139
168,160,72,140
167,161,72,141
164,161,75,142
160,163,77,143
156,165,79,144
156,165,79,145
157,167,76,146
154,168,78,147
155,169,76,148
156,170,74,149
155,171,74,150
154,171,75,151
153,172,75,152
147,172,81,153
146,172,82,154
148,172,80,155
147,172,81,156
150,172,78,157
149,172,79,158
144,173,83,159
141,175,84,160
139,178,83,161
141,179,80,162
138,181,81,163
137,181,82,164
135,181,84,165
134,182,84,166
138,182,80,167
135,182,83,168
134,182,84,169
134,182,84,170
131,183,86,171
134,184,82,172
131,185,84,173
130,185,85,174
128,186,86,175
128,186,86,176
127,186,87,177
128,186,86,178
126,187,87,179
125,188,87,180
124,188,88,181
124,189,87,182
121,190,89,183
119,191,90,184
118,192,90,185
118,192,90,186
116,193,91,187
115,193,92,188
116,193,91,189
121,193,86,190
123,193,84,191
123,193,84,192
124,193,83,193
126,194,80,194
125,195,80,195
126,197,77,196
126,197,77,197
124,198,78,198
123,199,78,199
121,199,80,200
123,199,78,201
125,200,75,202
123,200,77,203
121,201,78,204
122,201,77,205
122,201,77,206
122,202,76,207
121,203,76,208
120,204,76,209
118,204,78,210
120,204,76,211
119,205,76,212
118,205,77,213
119,206,75,214
118,206,76,215
119,207,74,216
116,208,76,217
113,211,76,218
113,212,75,219
115,213,72,220
116,213,71,221
114,214,72,222
112,216,72,223
112,217,71,224
112,217,71,225
109,218,73,226
110,218,72,227
110,220,70,228
112,220,68,229
112,220,68,230
112,220,68,231
111,220,69,232
113,220,67,233
111,221,68,234
110,221,69,235
106,223,71,236
105,223,72,237
106,223,71,238
105,224,71,239
106,224,70,240
105,224,71,241
104,224,72,242
105,225,70,243
103,226,71,244
103,226,71,245
102,226,72,246
101,226,73,247
101,226,73,248
103,226,71,249
102,227,71,250
103,228,69,251
103,228,69,252
101,229,70,253
101,229,70,254
99,229,72,255
100,229,71,256
97,230,73,257
96,230,74,258
96,230,74,259
96,231,73,260
94,232,74,261
94,232,74,262
91,233,76,263
93,233,74,264
94,233,73,265
95,233,72,266
95,233,72,267
94,233,73,268
93,234,73,269
94,234,72,270
93,234,73,271
94,235,71,272
94,235,71,273
96,235,69,274
93,235,72,275
94,235,71,276
92,235,73,277
93,236,71,278
93,236,71,279
93,236,71,280
94,236,70,281
94,236,70,282
94,236,70,283
92,236,72,284
93,236,71,285
94,236,70,286
96,236,68,287
93,236,71,288
94,236,70,289
94,237,69,290
94,237,69,291
93,237,70,292
94,237,69,293
94,237,69,294
94,237,69,295
94,237,69,296
93,237,70,297
93,237,70,298
90,239,71,299
91,239,70,300
92,239,69,301
89,239,72,302
89,239,72,303
87,239,74,304
88,239,73,305
88,240,72,306
87,241,72,307
86,242,72,308
85,242,73,309
86,242,72,310
86,242,72,311
88,242,70,312
87,242,71,313
85,242,73,314
85,242,73,315
84,242,74,316
85,242,73,317
86,242,72,318
84,242,74,319
78,244,78,320
79,245,76,321
79,245,76,322
77,246,77,323
76,246,78,324
76,246,78,325
74,246,80,326
75,246,79,327
74,247,79,328
76,247,77,329
77,247,76,330
77,247,76,331
77,247,76,332
77,247,76,333
76,248,76,334
78,248,74,335
79,249,72,336
78,250,72,337
79,250,71,338
77,250,73,339
77,251,72,340
76,251,73,341
77,251,72,342
75,251,74,343
76,251,73,344
75,251,74,345
70,252,78,346
71,252,77,347
70,253,77,348
73,253,74,349
72,254,74,350
73,254,73,351
72,254,74,352
71,254,75,353
71,254,75,354
70,254,76,355
69,254,77,356
69,254,77,357
70,254,76,358
69,255,76,359
71,255,74,360
71,255,74,361
72,255,73,362
74,255,71,363
74,255,71,364
77,255,68,365
76,255,69,366
76,255,69,367
77,256,67,368
80,256,64,369
79,256,65,370
78,257,65,371
79,257,64,372
80,257,63,373
76,258,66,374
74,258,68,375
73,258,69,376
74,258,68,377
